assign_name,cmid,submissions,unique_students,mean_grade,median_grade,ontime_submission_%,n_ontime,n_late
Explore Examples of All Resource Types in Moodle,2652,1,1,,,0.0,0,1
Hands-On Practice: Create Interactive Activities,2659,1,1,,,,0,0
Mini-Course Project: Add Interactive Activities,2660,1,1,,,,0,0
Participant Management Task (Individual),2664,1,1,,,0.0,0,1
Turnitin Setup Challenge (Group Activity),2665,1,1,,,,0,0
Participant Management Submission,2667,2,2,,,0.0,0,2
Finalisation of the Mini-Course - Duration:1 week,2673,1,1,,,0.0,0,1
